t_rel_enter_s,belt_bpm_ffill,radar_bpm_1hz,radar_valid_1hz,Peak_To_Noise,PSD_Peak_Ratio_1_2,Bandpower_6_30_BPM,Motion_RMS,Sweep_Energy_STD,phase_1hz
67.0,21.37,22.147736019510347,True,30.820540465400263,1.023844386552128,1806.1816286979602,4.636976518473125,65294.63274554592,eval
68.0,21.37,22.133825989184373,True,25.575033593093124,1.0251967644354827,1819.110517830436,4.497142211613528,39678.14342131725,eval
69.0,21.37,21.825099818419062,True,31.517338292758197,1.0930529047150257,1854.4871983953058,4.548694684109293,59340.42491722337,eval
70.0,21.37,21.505867851464007,True,32.187725792215105,1.1747386752746625,1915.0075910763246,4.576684154993227,75873.48902761884,eval
71.0,21.37,21.13897226031389,True,24.188648912858227,1.2595963698850823,1977.420377546012,4.8553333391345195,41256.20995715087,eval
72.0,21.37,20.758003616756735,True,19.476792478637492,1.1683970641589791,2030.8868099790898,4.737891791385662,29238.212071721093,eval
73.0,21.37,20.167275615843785,True,38.5873673860136,1.0399694963615373,2065.0572012312514,4.536576110858779,94654.58220229711,eval
74.0,21.37,19.42003314305602,True,28.98448497330507,1.09269725965681,2103.203073722444,4.706334438687449,81389.33400984475,eval
75.0,21.37,18.90407726691889,True,16.35534787914464,1.2292054128148606,2165.8032820078793,4.848429817913318,23806.903012462782,eval
76.0,21.37,18.507175731356032,True,11.847948898088235,1.2155744518358724,2175.482737672629,4.824152952757762,17647.1069178141,eval
77.0,21.02,18.258060631613674,True,11.118097049837537,1.1579207370410534,2137.88469623757,4.570807338806047,14864.419766981066,eval
78.0,21.02,18.243703273005995,True,15.789762751045188,1.1524403901275626,2102.0174516381658,4.84110092928044,25335.598167253673,eval
79.0,21.02,18.40620707448948,True,20.74749958290902,1.1691380587596591,2101.2269045984854,5.032600208651296,38701.137765869404,eval
80.0,21.02,18.754500359451235,True,18.29049527797393,1.2407676242229868,2098.276676228791,5.397684684815832,33875.84291012792,eval
81.0,21.02,,False,,,,,,eval
